name,address,website,phone_number,reviews_count,reviews_average,store_delivery,place_type,opens_at,introduction
Humble on Duke,"Shop 4/48-54 Duke St, Sunshine Beach QLD 4567, Australia",humbleonduke.com.au,+61 7 5345 5530,357,4.9,Yes,Restaurant,Closed · Opens 5pm Wed,None Found
Orléans Restaurant and Bar,"24 Duporth Ave, Maroochydore QLD 4558, Australia",orleansrb.com,+61 7 5443 5387,1203,4.7,Yes,French restaurant,Open · Closes 9pm,"Stylish setting for contemporary, upscale American cuisine with a French twist, plus tasting menus."
Bottarga By Da Biuso Restaurant,"1 Mundoo Bvd, Maroochydore QLD 4558, Australia",bottargarestaurant.com.au,+61 7 5443 8304,547,4.7,Yes,Italian restaurant, · Closes 8:30pm,None Found
Psari Seafood Bar & Grill,"45 Brisbane Rd, Mooloolaba QLD 4557, Australia",psaribarandgrill.com.au,+61 7 5326 3468,1084,4.8,Yes,Restaurant, · Closes 9pm,None Found
See Restaurant,"123 Parkyn Parade, Mooloolaba QLD 4557, Australia",seerestaurant.com.au,+61 7 5444 5044,955,4.5,Yes,Seafood restaurant, · Closes 8pm,Fine wine and Modern Australian seafood menus served in an intimate dining room with ocean views.
Lyra Greek Restaurant,"Shop 3/24 Ocean St, Maroochydore QLD 4558, Australia",lyra.restaurant,+61 432 911 808,277,4.6,Yes,Restaurant, · Closes 9pm,None Found
Il Mattarello Italian Restaurant & Pizzeria,"125 Brisbane Rd, Mooloolaba QLD 4557, Australia",ilmattarelloitalianrestaurant.com.au,+61 450 294 857,593,4.9,No,Restaurant, · Closes 8:30pm,None Found
YAKINIKU HIBIKI | PREMIUM JAPANESE BBQ | SUNSHINE PLAZA,"Sunshine Plaza Sunseeker Parade, 154-164 Horton Parade, Maroochydore QLD 4558, Australia",yakinikuhibiki.com.au,+61 478 639 565,389,4.7,Yes,Restaurant, · Closes 9:30pm,None Found
